epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.448,1.42499,1.05621,0.01197,0.80535,0.65346,0.72937,0.39567,1.70977,1.21033,0.01904,0.000666022,0.000666022,0.000666022
2,806.938,1.63605,1.38502,0.01471,0.7475,0.60225,0.67592,0.35776,1.75451,1.41347,0.01958,0.00125939,0.00125939,0.00125939
3,1177.19,1.71058,1.50853,0.01582,0.74466,0.58985,0.65923,0.34392,1.82733,1.4501,0.02037,0.00177943,0.00177943,0.00177943
4,1545.61,1.70738,1.53019,0.01579,0.75585,0.62397,0.69047,0.36809,1.76731,1.35874,0.02013,0.00167,0.00167,0.00167
5,1914.42,1.66237,1.45286,0.01504,0.7694,0.62987,0.70838,0.38616,1.72713,1.29953,0.01903,0.00156,0.00156,0.00156
6,2283.21,1.61567,1.35971,0.01448,0.79128,0.6361,0.72753,0.40727,1.67578,1.24227,0.01818,0.00145,0.00145,0.00145
7,2652.51,1.59557,1.31639,0.01391,0.79666,0.65508,0.74969,0.41975,1.65315,1.17698,0.01777,0.00134,0.00134,0.00134
8,3020.35,1.56573,1.25498,0.0137,0.79458,0.67869,0.76631,0.44203,1.6079,1.12481,0.01683,0.00123,0.00123,0.00123
9,3398.43,1.54923,1.03963,0.01519,0.8102,0.68633,0.77175,0.44741,1.60208,1.10466,0.01655,0.00112,0.00112,0.00112
10,3766.38,1.49486,0.96973,0.0142,0.80836,0.69532,0.78174,0.45477,1.58819,1.07008,0.01604,0.00101,0.00101,0.00101
11,4133.96,1.45644,0.90832,0.01358,0.80781,0.7074,0.79205,0.46844,1.5589,1.03261,0.01567,0.0009,0.0009,0.0009
12,4501.59,1.41847,0.85971,0.01294,0.8027,0.7197,0.7944,0.48179,1.5121,1.01754,0.01505,0.00079,0.00079,0.00079
13,4869.06,1.38564,0.80237,0.01233,0.85273,0.7074,0.80842,0.49081,1.50736,0.9751,0.01473,0.00068,0.00068,0.00068
14,5235.82,1.34192,0.76118,0.01169,0.84027,0.72884,0.81745,0.50203,1.49366,0.95446,0.01456,0.00057,0.00057,0.00057
15,5602.73,1.3132,0.723,0.01122,0.8581,0.7369,0.82513,0.5074,1.47813,0.92741,0.01428,0.00046,0.00046,0.00046
16,5968.97,1.27816,0.68838,0.01075,0.85732,0.74539,0.83075,0.51572,1.46425,0.90418,0.01393,0.00035,0.00035,0.00035
17,6335.9,1.24793,0.65661,0.01034,0.84139,0.75375,0.82898,0.51804,1.4595,0.8892,0.01388,0.00024,0.00024,0.00024
18,6702.59,1.22458,0.64696,0.01,0.85704,0.75582,0.83394,0.52224,1.45348,0.88155,0.0138,0.00013,0.00013,0.00013
