epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1260.22,1.80857,2.3278,0.01786,0.62466,0.4976,0.52757,0.25028,1.80443,1.82828,0.02058,0.00999603,0.00333201,0.00999603,0.00333201,0.00999603,0.00333201,0.00999603,0.00333201
2,2294.38,1.84375,1.96619,0.0189,0.65336,0.48897,0.54487,0.26094,1.85315,1.7959,0.02242,0.0195011,0.00650038,0.0195011,0.00650038,0.0195011,0.00650038,0.0195011,0.00650038
3,3188.33,1.93829,2.22568,0.02048,0.52633,0.40729,0.41053,0.18135,1.93743,2.20876,0.02432,0.0285112,0.00950374,0.0285112,0.00950374,0.0285112,0.00950374,0.0285112,0.00950374
4,4042.95,1.98264,2.33657,0.02106,0.55338,0.42276,0.4314,0.20635,1.88656,2.1837,0.02391,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,4898.01,1.91592,2.13363,0.02007,0.58126,0.46349,0.4871,0.2268,1.86797,1.92419,0.02259,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,5755.66,1.86493,2.00727,0.01907,0.68287,0.5038,0.57261,0.28305,1.79415,1.68097,0.02108,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,6618.05,1.81272,1.89074,0.0183,0.70046,0.56571,0.62687,0.31998,1.75804,1.60489,0.02098,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,7260.54,1.7829,1.79665,0.01775,0.69116,0.55997,0.63129,0.33655,1.69738,1.54108,0.01972,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,7789.15,1.74891,1.71766,0.01733,0.73417,0.60946,0.67899,0.36209,1.69033,1.40359,0.01926,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,8320.02,1.72997,1.66047,0.01693,0.74653,0.61967,0.69345,0.38305,1.63396,1.35658,0.01784,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,8851.55,1.70334,1.61919,0.0165,0.74382,0.62935,0.70451,0.39268,1.62183,1.30369,0.01813,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,9380.75,1.68727,1.55703,0.01635,0.76089,0.65477,0.73065,0.41459,1.58163,1.24342,0.01701,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,9906.81,1.67039,1.53842,0.01591,0.79162,0.65544,0.74815,0.42708,1.55652,1.19897,0.01677,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,10437.7,1.65697,1.48125,0.01567,0.78677,0.67479,0.75239,0.43857,1.53475,1.17834,0.01637,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,10966.1,1.63796,1.41784,0.01543,0.79754,0.6768,0.76971,0.45212,1.51898,1.11643,0.01613,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,11494.4,1.60171,1.38461,0.01498,0.8029,0.69356,0.78136,0.46161,1.52748,1.09573,0.016,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,12022.1,1.59036,1.36513,0.01502,0.80788,0.70141,0.79079,0.47316,1.48244,1.06397,0.01548,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,12550.4,1.57774,1.34316,0.0147,0.80778,0.70985,0.79495,0.47941,1.47304,1.05512,0.01518,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,13080.2,1.56742,1.30069,0.01455,0.81413,0.72107,0.80149,0.48427,1.46126,1.03129,0.01492,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
